-0.865,2.43E-10
-9.599,2.43E-10
-9.978,2.43E-10
-9.879,2.43E-10
-9.78,2.43E-10
-9.681,2.43E-10
-9.582,2.43E-10
-9.483,2.43E-10
-9.384,2.43E-10
-9.286,2.43E-10
-9.187,2.43E-10
-9.089,2.43E-10
-8.99,2.43E-10
-8.891,2.43E-10
-8.792,2.43E-10
-8.694,2.43E-10
-8.595,2.43E-10
-8.496,2.43E-10
-8.397,2.43E-10
-8.299,2.43E-10
-8.2,2.43E-10
-8.101,2.43E-10
-8.002,2.43E-10
-7.904,2.43E-10
-7.805,2.43E-10
-7.706,2.43E-10
-7.607,2.42E-10
-7.508,2.43E-10
-7.41,2.42E-10
-7.311,2.42E-10
-7.212,2.42E-10
-7.114,2.42E-10
-7.015,2.42E-10
-6.916,2.42E-10
-6.817,2.42E-10
-6.718,2.42E-10
-6.62,2.42E-10
-6.421,2.42E-10
-6.322,2.42E-10
-6.224,2.42E-10
-6.125,2.42E-10
-6.025,2.42E-10
-5.927,2.42E-10
-5.828,2.42E-10
-5.73,2.42E-10
-5.631,2.42E-10
-5.532,2.41E-10
-5.434,2.41E-10
-5.335,2.41E-10
-5.233,2.41E-10
-5.131,2.41E-10
-5.033,2.41E-10
-4.934,2.41E-10
-4.835,2.41E-10
-4.737,2.41E-10
-4.638,2.41E-10
-4.539,2.41E-10
-4.441,2.40E-10
-4.341,2.40E-10
-4.243,2.40E-10
-4.144,2.40E-10
-4.045,2.40E-10
-3.947,2.40E-10
-3.848,2.39E-10
-3.749,2.39E-10
-3.65,2.39E-10
-3.551,2.39E-10
-3.452,2.38E-10
-3.354,2.38E-10
-3.156,2.38E-10
-3.057,2.37E-10
-2.958,2.37E-10
-2.86,2.37E-10
-2.76,2.36E-10
-2.661,2.35E-10
-2.563,2.35E-10
-2.464,2.34E-10
-2.365,2.33E-10
-2.266,2.32E-10
-2.168,2.30E-10
-2.069,2.29E-10
-1.97,2.27E-10
-1.871,2.24E-10
-1.773,2.20E-10
-1.674,2.16E-10
-1.575,2.09E-10
-1.476,2.00E-10
-1.378,1.88E-10
-1.279,1.72E-10
-1.18,1.54E-10
-1.081,1.37E-10
-0.982,1.24E-10
-0.884,1.15E-10
-0.785,1.07E-10
-0.686,1.02E-10
-0.587,9.67E-11
-0.489,9.27E-11
-0.39,8.96E-11
-0.291,8.70E-11
-0.193,8.52E-11
-0.093,8.45E-11
0.006,8.42E-11
0.104,8.42E-11
0.203,8.45E-11
0.401,8.47E-11
0.5,8.50E-11
0.599,8.54E-11
0.698,8.56E-11
0.796,8.58E-11
0.895,8.61E-11
0.994,8.61E-11
1.093,8.66E-11
1.192,8.67E-11
1.29,8.70E-11
1.389,8.72E-11
1.488,8.74E-11
1.586,8.76E-11
1.685,8.79E-11
1.784,8.81E-11
1.883,8.83E-11
1.981,8.86E-11
2.08,8.89E-11
2.179,8.91E-11
2.277,8.92E-11
2.376,8.94E-11
2.475,8.97E-11
2.574,8.99E-11
2.672,9.02E-11
2.771,9.06E-11
2.87,9.10E-11
2.968,9.10E-11
3.067,9.13E-11
3.166,9.15E-11
3.265,9.18E-11
3.363,9.20E-11
3.463,9.23E-11
3.561,9.25E-11
3.66,9.28E-11
3.857,9.30E-11
3.957,9.33E-11
4.056,9.34E-11
4.154,9.37E-11
4.253,9.38E-11
4.352,9.43E-11
4.451,9.44E-11
4.55,9.46E-11
4.648,9.49E-11
4.747,9.51E-11
4.845,9.53E-11
4.944,9.56E-11
5.043,9.60E-11
5.141,9.60E-11
5.244,9.63E-11
5.345,9.65E-11
5.444,9.68E-11
5.542,9.70E-11
5.641,9.73E-11
5.74,9.75E-11
5.839,9.78E-11
5.937,9.81E-11
6.036,9.83E-11
6.135,9.85E-11
6.233,9.87E-11
6.332,9.89E-11
6.431,9.93E-11
6.53,9.95E-11
6.629,9.99E-11
6.728,1.00E-10
6.826,1.01E-10
6.925,1.01E-10
7.024,1.02E-10
7.123,1.02E-10
7.221,1.03E-10
7.42,1.04E-10
7.518,1.04E-10
7.617,1.05E-10
7.716,1.06E-10
7.815,1.07E-10
7.914,1.07E-10
8.012,1.08E-10
8.111,1.09E-10
8.21,1.09E-10
8.308,1.10E-10
8.407,1.10E-10
8.506,1.11E-10
8.605,1.11E-10
8.703,1.12E-10
8.802,1.12E-10
8.901,1.13E-10
9,1.13E-10
9.098,1.14E-10
9.197,1.14E-10
9.296,1.15E-10
9.395,1.15E-10
9.493,1.16E-10
9.592,1.16E-10
9.691,1.17E-10
9.789,1.17E-10
9.888,1.18E-10
9.987,1.18E-10
10.086,1.18E-10
