Voltage,Current
0.003,0
0.003,0
0.003,0
0.003,0.000001
0.003,0
0.003,0
0.003,0
0.003,0.000001
0.003,0
0.003,0.000001
0.003,0
0.003,0
0.003,0
0.003,0.000001
0.003,0
0.003,0
0.003,0
0.003,0.000001
0.003,0
0.003,0
0.003,0
0.003,0.000001
0.003,0
0.003,0
0.003,0
0.004,0
0.03,0.000001
0.125,0
0.175,0
0.198,0.000001
0.215,0.000001
0.225,0.000001
0.231,0.000001
0.249,0.000001
0.273,0.000002
0.287,0.000003
0.295,0.000004
0.301,0.000004
0.304,0.000005
0.307,0.000005
0.311,0.000006
0.314,0.000007
0.318,0.000008
0.337,0.000037
0.4,0.000141
0.418,0.000211
0.433,0.000298
0.441,0.000348
0.445,0.000371
0.445,0.000375
0.448,0.000406
0.455,0.000481
0.462,0.000533
0.467,0.000595
0.474,0.000676
0.482,0.000776
0.488,0.000854
0.497,0.000971
0.502,0.00103
-0.003,0.000004
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000002
-0.003,0.000002
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000003
-0.003,0.000004
-0.003,3.00E-06
-0.003,4.00E-06
-0.002,4.00E-06
-0.003,3.00E-06
-0.003,3.00E-06
-0.003,3.00E-06
-0.002,4.00E-06
-0.003,4.00E-06
-0.003,4.00E-06
-0.002,4.00E-06
-0.003,4.00E-06
-0.003,4.00E-06
-0.003,4.00E-06
-0.002,4.00E-06
-0.003,4.00E-06
-0.003,4.00E-06
-0.003,4.00E-06
-0.003,4.00E-06
-0.003,4.00E-06
-0.003,4.00E-06
-0.003,4.00E-06
-0.003,4.00E-06
-0.003,4.00E-06
-0.003,4.00E-06
-0.003,4.00E-06
-0.006,3.00E-06
-0.018,3.00E-06
-0.042,3.00E-06
-0.047,2.00E-06
-0.052,1.00E-06
-0.068,1.00E-06
-0.098,-9.00E-06
-0.118,-9.00E-06
-0.126,-9.00E-06
-0.131,-1.00E-05
-0.141,-1.00E-05
-0.155,-1.10E-05
-0.18,-1.10E-05
-0.186,-1.20E-05
-0.193,-1.20E-05
-0.203,-1.30E-05
-0.218,-2.40E-05
-0.258,-2.40E-05
-0.267,-2.50E-05
-0.278,-2.50E-05
-0.293,-2.60E-05
-0.309,-2.60E-05
-0.319,-2.70E-05
-0.337,-2.80E-05
-0.353,-2.80E-05
-0.364,-2.90E-05
-0.374,-4.20E-05
-0.417,-4.40E-05
-0.436,-4.50E-05
-0.453,-4.60E-05
-0.456,-4.60E-05
-0.467,-4.70E-05
-0.486,-4.80E-05
-0.492,-4.90E-05
-0.496,-4.90E-05
-0.502,-5.00E-05
-0.507,-5.20E-05
-0.51,-5.30E-05
-0.515,-5.40E-05
-0.52,-5.50E-05
-0.52,-5.60E-05
-0.522,-5.70E-05
-0.55,-5.80E-05
-0.564,-5.90E-05
-0.575,-7.10E-05
-0.588,-7.00E-05
-0.591,-7.10E-05
-0.623,-7.30E-05
-0.673,-9.20E-05
-0.708,-9.30E-05
-0.715,-9.40E-05
-0.721,-9.50E-05
-0.728,-9.50E-05
-0.735,-9.60E-05
-0.739,-9.80E-05
-0.757,-1.08E-04
-0.773,-1.10E-04
-0.783,-1.10E-04
-0.791,-1.12E-04
-0.806,-1.23E-04
-0.83,-1.24E-04
-0.834,-1.27E-04
-0.885,-1.42E-04
-0.898,-1.45E-04
-0.916,-1.49E-04
-0.932,-1.60E-04
-0.95,-1.65E-04
-0.962,-1.68E-04
-0.986,-1.83E-04
-0.996,-1.85E-04
