Voltage (V),Current (A)
4.00E-03,0
5.00E-03,0
5.00E-03,0
5.00E-03,0
5.00E-03,0
5.00E-03,0
5.00E-03,0
5.00E-03,0
5.00E-03,0
4.00E-03,0
4.00E-03,0
4.00E-03,0
5.00E-03,0
4.00E-03,0
4.00E-03,0
4.00E-03,0
4.00E-03,0
4.00E-03,0
4.00E-03,0
4.00E-03,0
9.00E-03,0
9.00E-02,0
1.85E-01,0.000001
2.73E-01,0.000006
3.27E-01,0.000012
3.40E-01,0.000017
3.69E-01,0.000065
4.06E-01,0.000204
4.58E-01,0.000795
5.12E-01,0.001688
